Year,Month,Name,Value
,,Acadia National Park,North East
,,Arches National Park,Intermountain
,,Badlands National Park,Midwest
,,Big Bend National Park,Intermountain
,,Biscayne National Park,South East
,,Black Canyon Of The Gunnison National Park,Intermountain
,,Bryce Canyon National Park,Intermountain
,,Canyonlands National Park,Intermountain
,,Capitol Reef National Park,Intermountain
,,Carlsbad Caverns National Park,Intermountain
,,Channel Islands National Park,Pacific West
,,Congaree National Park,South East
,,Crater Lake National Park,Pacific West
,,Cuyahoga Valley National Park,Midwest
,,Death Valley National Park,Pacific West
,,Denali National Park & Preserve,Alaska
,,Dry Tortugas National Park,South East
,,Everglades National Park,South East
,,Gates Of The Arctic National Park & Preserve,Alaska
,,Gateway National Recreation Area,North East
,,Glacier Bay National Park & Preserve,Alaska
,,Glacier National Park,Intermountain
,,Grand Canyon National Park,Intermountain
,,Grand Teton National Park,Intermountain
,,Great Basin National Park,Pacific West
,,Great Sand Dunes National Park & Preserve,Intermountain
,,Great Smoky Mountains National Park,South East
,,Guadalupe Mountains National Park,Intermountain
,,Haleakala National Park,Hawaii
,,Hawaii Volcanoes National Park,Hawaii
,,Hot Springs National Park,Midwest
,,Indiana Dunes National Lakeshore,Midwest
,,Isle Royale National Park,Midwest
,,Joshua Tree National Park,Pacific West
,,Katmai National Park & Preserve,Alaska
,,Kenai Fjords National Park,Alaska
,,Kings Canyon National Park,Pacific West
,,Kobuk Valley National Park,Alaska
,,Lake Clark National Park & Preserve,Alaska
,,Lassen Volcanic National Park,Pacific West
,,Mammoth Cave National Park,South East
,,Mesa Verde National Park,Intermountain
,,Mount Rainier National Park,Pacific West
,,National Park of American Samoa,American Samoa
,,North Cascades National Park,Pacific West
,,Olympic National Park,Pacific West
,,Petrified Forest National Park,Intermountain
,,Pinnacles National Monument,Pacific West
,,Redwood National and State Parks,Pacific West
,,Rocky Mountain National Park,Intermountain
,,Saguaro National Park,Intermountain
,,Sequoia & Kings Canyon National Parks,Pacific West
,,Shenandoah National Park,North East
,,Theodore Roosevelt National Park,Midwest
,,Virgin Islands National Park,Virgin Islands
,,Voyageurs National Park,Midwest
,,White Sands National Monument,Intermountain
,,Wind Cave National Park,Midwest
,,Wolf Trap National Park for the Performing Arts,North East
,,Wrangell - St Elias National Park & Preserve,Alaska
,,Yellowstone National Park,Intermountain
,,Yosemite National Park,Pacific West
,,Zion National Park,Intermountain
